Date,Adj Close,Volume,sentiment,news_count,is_grouped_day,Change,Change Sentiment,moving_avg_7,moving_avg_30,moving_avg_90,sentiment_change,daily_return,rolling_volatility_7,rolling_volatility_30
2021-04-27,15.349164009094238,164572000,0.3805562809986227,8.0,False,-0.10083599090576101,-0.11944371900137729,15.234620911734444,14.144928487141927,13.679286924997966,-0.03837376968990735,-0.006218342235614682,0.024074572780491906,0.025744978565390257
2021-04-28,15.244385719299316,209416000,-0.0801592106861165,14.0,False,-0.10477828979492188,-0.46071549168473924,15.222503798348564,14.210971577962239,13.701892481909859,0.008398945007002114,-0.006826318992541935,0.020292258169443227,0.02583812154726547
2021-04-29,15.29228401184082,173196000,0.6482608829225813,5.0,False,0.047898292541503906,0.7284200936086979,15.244385719299316,14.276948165893554,13.72393569946289,0.031050589413439415,0.003142028378412487,0.01962720129536045,0.025839370893831093
2021-04-30,14.977703094482422,201912000,0.7214361202867726,4.0,False,-0.31458091735839844,0.07317523736419129,15.19434915270124,14.353020032246908,13.743251132965089,-0.2269500365352968,-0.02057121860376243,0.020530517837855203,0.024464547356365423
2021-05-03,14.80531883239746,203912000,0.2002056523904962,9.0,True,-0.1723842620849627,-0.5212304678962765,15.192424774169922,14.419246133168539,13.759983412424724,-0.03451230365257424,-0.011509392394650098,0.016461930918077804,0.024654127771840985
2021-05-04,14.320844650268556,405324000,0.1237281833786562,6.0,False,-0.4844741821289027,-0.07647746901184001,15.062129701886859,14.457997131347657,13.771931160820856,-0.05994311044866935,-0.03272298203188717,0.01521099203736163,0.025245702387537195
2021-05-05,14.427867889404297,292024000,0.2501873312852322,17.0,False,0.10702323913574041,0.12645914790657597,14.916795458112444,14.504157416025798,13.788049591912163,0.026775858584872112,0.007473249081975997,0.013733593828277123,0.025155861134004573
2021-05-06,14.492232322692873,193380000,0.6810765720165528,19.0,False,0.064364433288576,0.4308892407313206,14.794376645769391,14.56669127146403,13.805054961310493,0.04383710758397144,0.004461118841810663,0.014729543371659486,0.024198464901757977
2021-05-07,14.780871391296388,229328000,0.4628185501435945,16.0,False,0.2886390686035156,-0.21825802187295829,14.728160313197545,14.642430591583253,13.826306512620715,0.13358751524587661,0.019916812136081097,0.018174094165513525,0.024211065211514338
2021-05-10,14.235527992248535,268904000,0.3996798811313168,17.0,True,-0.5453433990478533,-0.06313866901227771,14.577195167541504,14.689879894256592,13.841019354926216,-0.21796278490719428,-0.03689521305008947,0.021459908545903468,0.025164438276167437
2021-05-11,14.275940895080566,285584000,0.2361658855057581,11.0,False,0.04041290283203125,-0.1635139956255587,14.47694342476981,14.735050678253174,13.853936746385362,0.009544148983184819,0.0028388762857294303,0.021357834622914004,0.025149438579201776
2021-05-12,13.729352951049805,303408000,0.6803943835772002,8.0,False,-0.5465879440307617,0.44422849807144205,14.323234013148717,14.764546394348145,13.861786799960667,-0.3718953672495393,-0.03828734988802829,0.02453797836341498,0.026244014115974493
2021-05-13,13.63629913330078,285404000,0.2248173298374299,8.0,False,-0.09305381774902521,-0.45557705373977025,14.225441796439034,14.775090662638346,13.867954550849067,-0.02092011083751469,-0.0067777278420037,0.02248849497037426,0.025467368564580466
